timestamp_ms,imu_pitch_deg,imu_pitch_vel,state,rep_id,ecg_raw,ecg_env
7334,-0.008,-0.164,0,0,316,0.5088794510812518
7344,-0.757,-12.807,1,0,282,0.6983700839743382
7354,-1.511,-23.478,1,0,297,0.8867989688266267
7364,-2.204,-31.526,1,0,315,1.0702082356405096
7374,-2.833,-37.571,1,0,268,1.2459431500572804
7384,-3.428,-42.609,1,0,321,1.4125241543664697
7394,-4.019,-47.408,1,0,282,1.569259200659708
7404,-4.617,-52.159,1,0,297,1.715925241883015
7414,-5.208,-56.617,1,0,311,1.852606842701654
7424,-5.741,-59.782,1,0,274,1.979585680292838
7434,-6.203,-61.576,1,0,326,2.0972105451195446
7444,-6.585,-61.861,1,0,287,2.2058107567262217
7454,-6.871,-60.805,1,0,298,2.3056895527703953
7464,-7.091,-59.377,1,0,322,2.397117020981288
7474,-7.275,-58.126,1,0,277,2.4802847272400186
7484,-7.44,-57.164,1,0,331,2.5553029192069485
7494,-7.609,-56.861,1,0,302,2.622308240373724
7504,-7.81,-57.657,1,0,308,2.681635035738358
7514,-8.051,-59.479,1,0,331,2.733925923930261
7524,-8.305,-61.649,1,0,286,2.780097426216073
7534,-8.551,-63.773,1,0,333,2.821195435636725
7544,-8.756,-65.227,1,0,302,2.858245976833681
7554,-8.882,-65.381,1,0,310,2.892159354984
7564,-8.917,-64.115,1,0,327,2.9236819599585777
7574,-8.875,-61.972,1,0,283,2.9534110505217392
7584,-8.778,-59.526,1,0,331,2.9818720750392846
7594,-8.621,-56.795,1,0,303,3.0095630408567424
7604,-8.409,-53.878,1,0,308,3.0368995855338365
7614,-8.148,-50.969,1,0,324,3.064143829817054
7624,-7.833,-47.955,1,0,278,3.0914335355239575
7634,-7.502,-45.515,1,0,333,3.11889606852147
7644,-7.161,-43.593,1,0,293,3.1467100671846104
7654,-6.821,-42.053,1,0,303,3.175029942243562
7664,-6.489,-40.861,1,0,326,3.2038521557965165
7674,-6.169,-39.929,1,0,273,3.2329599805003935
7684,-5.848,-38.999,1,0,319,3.2619896809446653
