rep_start_ms,rep_end_ms,tempo_desc_ms,tempo_asc_ms,rom_deg,env_int_desc,env_int_asc,env_peak_desc,env_peak_asc,env_init_mean,S_rule,strategy_label
7334.0,12074.0,1990.0,2540.0,88.318,6.1836849322664325,10.967622173581866,3.632954436341335,3.565570059920441,2.2758382280972125,-0.19927151475118912,Balanced
12084.0,13954.0,960.0,810.0,83.7,1.972605536573584,1.9844528131335504,2.68337013727092,2.865065058654026,2.4122338359157385,0.2931460572976501,Knee
13964.0,15814.0,960.0,770.0,83.946,2.0642342380511085,1.977244378689465,2.6636454752102603,3.047979297732144,2.22062123898558,0.1330083617392874,Balanced
15824.0,17544.0,970.0,680.0,81.082,2.7106495843169625,1.94422932592254,3.403724375183601,3.866006619373021,3.0327630710574085,0.8396034263093451,Knee
17554.0,19304.0,960.0,720.0,82.035,2.263981032358429,2.097353177327231,2.783685414656983,3.7509091539612895,2.524229386931419,0.4654742152511052,Knee
19314.0,21664.0,940.0,1350.0,73.561,1.917179238022865,2.112200016567929,2.5606851678165734,1.995071177525464,2.222485016356728,-0.0008484172410061774,Balanced
21674.0,23934.0,970.0,1190.0,79.044,1.5918467933879847,2.215282036883558,2.046007256928158,2.3143826180398546,1.495800822605001,-0.7921594502782359,Hip
23944.0,26314.0,1240.0,1030.0,82.494,2.12003481119698,2.234185435341794,2.081855022746088,2.7697405575861884,1.5754595376789853,-0.5474005667129905,Hip
26324.0,27184.0,830.0,0.0,50.149,1.7028494290299914,0.0,3.0980442339777663,3.0980442339777663,1.5609490425382218,-0.5014945379184093,Hip
