timestamp_ms,pitch_deg,pitch_vel_dps,state,rep_id,ecg_raw
7334,-0.008,-0.164,0,0,316
7344,-0.757,-12.807,1,0,282
7354,-1.511,-23.478,1,0,297
7364,-2.204,-31.526,1,0,315
7374,-2.833,-37.571,1,0,268
7384,-3.428,-42.609,1,0,321
7394,-4.019,-47.408,1,0,282
7404,-4.617,-52.159,1,0,297
7414,-5.208,-56.617,1,0,311
7424,-5.741,-59.782,1,0,274
7434,-6.203,-61.576,1,0,326
7444,-6.585,-61.861,1,0,287
7454,-6.871,-60.805,1,0,298
7464,-7.091,-59.377,1,0,322
7474,-7.275,-58.126,1,0,277
7484,-7.44,-57.164,1,0,331
7494,-7.609,-56.861,1,0,302
7504,-7.81,-57.657,1,0,308
7514,-8.051,-59.479,1,0,331
7524,-8.305,-61.649,1,0,286
7534,-8.551,-63.773,1,0,333
7544,-8.756,-65.227,1,0,302
7554,-8.882,-65.381,1,0,310
7564,-8.917,-64.115,1,0,327
7574,-8.875,-61.972,1,0,283
7584,-8.778,-59.526,1,0,331
7594,-8.621,-56.795,1,0,303
7604,-8.409,-53.878,1,0,308
7614,-8.148,-50.969,1,0,324
7624,-7.833,-47.955,1,0,278
7634,-7.502,-45.515,1,0,333
7644,-7.161,-43.593,1,0,293
7654,-6.821,-42.053,1,0,303
7664,-6.489,-40.861,1,0,326
7674,-6.169,-39.929,1,0,273
7684,-5.848,-38.999,1,0,319
7694,-5.516,-38.102,1,0,289
7704,-5.166,-37.406,1,0,301
7714,-4.8,-36.907,1,0,319
7724,-4.39,-35.932,1,0,277
7734,-3.935,-34.458,1,0,323
7744,-3.471,-33.189,1,0,287
7754,-3.01,-32.213,1,0,288
7764,-2.544,-31.328,1,0,309
7774,-2.096,-30.988,1,0,262
7784,-1.677,-31.263,1,0,307
7794,-1.285,-31.981,1,0,277
7804,-0.918,-33.109,1,0,274
7814,-0.562,-34.374,1,0,294
7824,-0.227,-35.825,1,0,250
7834,0.102,-36.962,1,0,295
7844,0.424,-37.738,1,0,271
7854,0.74,-38.435,1,0,269
7864,1.056,-39.097,1,0,296
7874,1.357,-39.934,1,0,258
7884,1.652,-40.631,1,0,300
7894,1.954,-40.896,1,0,274
7904,2.262,-40.955,1,0,283
7914,2.562,-41.167,1,0,306
7924,2.861,-41.333,1,0,265
7934,3.172,-41.176,1,0,312
7944,3.484,-40.944,1,0,286
7954,3.796,-40.71,1,0,284
7964,4.127,-40.199,1,0,309
7974,4.493,-39.276,1,0,257
7984,4.883,-38.14,1,0,304
7994,5.291,-36.847,1,0,284
8004,5.705,-35.566,1,0,287
8014,6.128,-34.265,1,0,319
8024,6.571,-32.835,1,0,266
8034,7.042,-31.216,1,0,312
8044,7.583,-28.799,1,0,280
8054,8.152,-26.398,1,0,287
8064,8.767,-23.736,1,0,307
8074,9.432,-20.816,1,0,268
8084,10.133,-17.904,1,0,317
8094,10.862,-15.06,1,0,291
8104,11.61,-12.325,1,0,288
8114,12.377,-9.627,1,0,323
8124,13.163,-6.922,1,0,275
8134,13.967,-4.231,0,0,326
8144,14.791,-1.52,0,0,299
8154,15.64,1.299,0,0,302
8164,16.515,4.278,0,0,318
8174,17.416,7.463,0,0,275
8184,18.343,10.84,-1,0,328
8194,19.293,14.417,-1,0,298
8204,20.265,18.129,-1,0,295
8214,21.255,21.915,-1,0,320
8224,22.274,25.975,-1,0,281
8234,23.333,30.478,-1,0,330
8244,24.471,36.061,-1,0,305
8254,25.625,41.578,-1,0,299
8264,26.798,47.03,-1,0,333
8274,27.986,52.378,-1,0,285
8284,29.187,57.627,-1,0,340
8294,30.391,62.744,-1,0,313
8304,31.597,67.771,-1,0,313
8314,32.807,72.764,-1,0,346
8324,34.023,77.779,-1,0,300
8334,35.237,82.641,-1,0,342
8344,36.449,87.363,-1,0,320
8354,37.658,91.969,-1,0,325
8364,38.865,96.52,-1,0,354
8374,40.067,100.963,-1,0,308
8384,41.261,105.246,-1,0,354
8394,42.437,109.303,-1,0,331
8404,43.584,113.01,-1,0,323
8414,44.696,116.373,-1,0,358
8424,45.77,119.319,-1,0,314
8434,46.797,121.783,-1,0,351
8444,47.785,123.989,-1,0,327
8454,48.76,126.286,-1,0,329
8464,49.701,128.057,-1,0,355
8474,50.608,129.492,-1,0,308
8484,51.482,130.79,-1,0,355
8494,52.293,131.516,-1,0,336
8504,53.037,131.775,-1,0,322
8514,53.709,131.604,-1,0,352
8524,54.269,130.291,-1,0,309
8534,54.739,128.313,-1,0,353
8544,55.154,126.247,-1,0,332
8554,55.541,124.363,-1,0,326
8564,55.917,122.731,-1,0,348
8574,56.287,121.443,-1,0,311
8584,56.641,120.349,-1,0,353
8594,56.972,119.397,-1,0,333
8604,57.296,118.837,-1,0,331
8614,57.626,118.971,-1,0,350
8624,57.95,119.642,-1,0,311
8634,58.236,120.283,-1,0,353
8644,58.48,120.42,-1,0,336
8654,58.596,118.357,-1,0,324
8664,58.673,116.119,-1,0,345
8674,58.712,114.59,-1,0,309
8684,58.73,113.764,-1,0,349
8694,58.729,113.217,-1,0,332
8704,58.7,112.498,-1,0,325
8714,58.595,110.728,-1,0,354
8724,58.387,107.656,-1,0,306
8734,58.089,103.825,-1,0,348
8744,57.745,100.225,-1,0,325
8754,57.401,97.632,-1,0,321
8764,57.066,96.031,-1,0,356
8774,56.724,94.94,-1,0,306
8784,56.344,93.676,-1,0,347
8794,55.901,91.564,-1,0,325
8804,55.389,88.523,-1,0,317
8814,54.834,85.276,-1,0,349
8824,54.264,82.377,-1,0,303
8834,53.687,79.789,-1,0,344
8844,53.116,77.53,-1,0,323
8854,52.551,75.484,-1,0,323
8864,51.952,73.108,-1,0,353
8874,51.296,70.763,-1,0,306
8884,50.554,68.187,-1,0,348
8894,49.698,64.83,-1,0,322
8904,48.748,60.751,-1,0,313
8914,47.767,56.477,-1,0,346
8924,46.809,52.702,-1,0,303
8934,45.89,49.678,-1,0,340
8944,45.011,47.32,-1,0,326
8954,44.162,45.234,-1,0,311
8964,43.333,43.149,-1,0,341
8974,42.515,40.995,-1,0,295
8984,41.685,38.62,-1,0,341
8994,40.83,36.061,-1,0,328
9004,39.953,33.501,-1,0,316
9014,39.054,31.012,-1,0,348
9024,38.14,28.653,-1,0,303
