ts_unix	user_id	side	ts_ms	imu_state_num	imu_state	rep_id	desc_ms	rise_ms	tempo_cv	tempo_score	tempo_level	pitch_deg	pitch_vel_dps
1760875607.361	user_061	L	1236678	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.64	0.0
1760875607.362	user_061	L	1236779	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.64	0.0
1760875607.48	user_061	L	1236881	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.64	-0.0
1760875607.654	user_061	L	1236983	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.63	-0.01
1760875607.705	user_061	L	1237085	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.63	-0.0
1760875607.945	user_061	L	1237187	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.64	0.01
1760875607.945	user_061	L	1237289	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.66	0.03
1760875607.975	user_061	L	1237391	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.67	0.03
1760875608.234	user_061	L	1237493	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.62	-0.04
1760875608.234	user_061	L	1237595	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.55	-0.1
1760875608.29	user_061	L	1237697	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.56	-0.07
1760875608.519	user_061	L	1237799	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.56	-0.06
1760875608.563	user_061	L	1237902	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	-0.01
1760875608.606	user_061	L	1238002	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	-0.0
1760875608.805	user_061	L	1238104	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	-0.0
1760875608.83	user_061	L	1238206	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875608.921	user_061	L	1238308	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.094	user_061	L	1238410	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.145	user_061	L	1238512	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.38	user_061	L	1238614	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.38	user_061	L	1238715	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.46	user_061	L	1238818	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.664	user_061	L	1238919	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.664	user_061	L	1239021	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.775	user_061	L	1239123	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875609.951	user_061	L	1239225	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875610.0	user_061	L	1239327	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	-0.0
1760875610.246	user_061	L	1239429	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	-0.0
1760875610.246	user_061	L	1239531	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	-0.0
1760875610.27	user_061	L	1239633	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	-0.0
1760875610.533	user_061	L	1239734	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875610.533	user_061	L	1239836	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875610.586	user_061	L	1239938	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	-0.0
1760875610.821	user_061	L	1240040	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875610.855	user_061	L	1240143	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875610.901	user_061	L	1240244	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.106	user_061	L	1240346	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875611.124	user_061	L	1240448	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.215	user_061	L	1240550	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.39	user_061	L	1240652	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.44	user_061	L	1240754	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.675	user_061	L	1240855	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.676	user_061	L	1240957	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.756	user_061	L	1241059	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875611.96	user_061	L	1241161	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.01
1760875611.96	user_061	L	1241263	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.01
1760875612.073	user_061	L	1241365	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875612.251	user_061	L	1241467	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875612.295	user_061	L	1241569	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.01
1760875612.536	user_061	L	1241671	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.01
1760875612.536	user_061	L	1241772	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.0
1760875612.565	user_061	L	1241874	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.01
1760875612.822	user_061	L	1241976	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.61	0.01
1760875612.822	user_061	L	1242078	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.01
1760875612.88	user_061	L	1242180	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875613.108	user_061	L	1242282	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875613.108	user_061	L	1242384	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.01
1760875613.195	user_061	L	1242486	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.01
1760875613.399	user_061	L	1242587	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.01
1760875613.42	user_061	L	1242690	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875613.51	user_061	L	1242791	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.6	0.0
1760875613.687	user_061	L	1242893	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875613.735	user_061	L	1242995	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875613.976	user_061	L	1243098	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875613.976	user_061	L	1243199	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875614.05	user_061	L	1243301	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875614.258	user_061	L	1243403	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875614.258	user_061	L	1243505	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875614.365	user_061	L	1243606	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875614.544	user_061	L	1243709	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875614.594	user_061	L	1243810	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875614.829	user_061	L	1243912	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875614.829	user_061	L	1244014	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875614.86	user_061	L	1244116	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875615.115	user_061	L	1244218	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875615.115	user_061	L	1244320	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875615.221	user_061	L	1244422	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875615.399	user_061	L	1244524	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
